seed,round,aggregator,threshold,weighted_f1,f1,accuracy,fpr,roc_auc
42,1,fedavg,0.40,0.947900,0.957674,0.948558,0.067195,0.975096
42,2,fedavg,0.44,0.953884,0.955472,0.946620,0.048568,0.977329
42,3,fedavg,0.41,0.955945,0.958470,0.950089,0.047954,0.977746
42,4,fedavg,0.42,0.956560,0.958355,0.950012,0.046214,0.977852
42,5,fedavg,0.42,0.957234,0.959247,0.951051,0.045874,0.978058
42,6,fedavg,0.41,0.957770,0.959952,0.951873,0.045599,0.978219
42,7,fedavg,0.41,0.958170,0.960323,0.952315,0.045154,0.978470
42,8,fedavg,0.41,0.958685,0.961213,0.953343,0.045220,0.978819
42,9,fedavg,0.41,0.959024,0.961661,0.953868,0.045050,0.979100
42,10,fedavg,0.41,0.959247,0.961665,0.953888,0.044487,0.979354
42,11,fedavg,0.41,0.959482,0.961968,0.954243,0.044356,0.979672
42,12,fedavg,0.44,0.960224,0.960827,0.953030,0.040707,0.980045
42,13,fedavg,0.43,0.960328,0.961616,0.953914,0.041662,0.980234
42,14,fedavg,0.44,0.960675,0.961612,0.953935,0.040772,0.980466
42,15,fedavg,0.43,0.961143,0.962348,0.954788,0.040720,0.980656
42,16,fedavg,0.42,0.961353,0.962755,0.955256,0.040812,0.980853
42,17,fedavg,0.49,0.962210,0.958882,0.951040,0.032649,0.981090
42,18,fedavg,0.42,0.961785,0.963372,0.955975,0.040668,0.981263
42,19,fedavg,0.44,0.962540,0.962965,0.955575,0.038117,0.981468
42,20,fedavg,0.44,0.962762,0.963297,0.955960,0.038065,0.981661
43,1,fedavg,0.41,0.948437,0.957270,0.948151,0.065207,0.975205
43,2,fedavg,0.45,0.954045,0.954552,0.945627,0.046737,0.977359
43,3,fedavg,0.41,0.955748,0.957907,0.949452,0.047587,0.977637
43,4,fedavg,0.42,0.956500,0.957740,0.949329,0.045416,0.977851
43,5,fedavg,0.42,0.957204,0.958486,0.950208,0.044775,0.978023
43,6,fedavg,0.42,0.957987,0.959598,0.951498,0.044500,0.978293
43,7,fedavg,0.40,0.958352,0.960893,0.952963,0.045573,0.978593
43,8,fedavg,0.41,0.958714,0.961243,0.953379,0.045194,0.978902
43,9,fedavg,0.41,0.959090,0.961735,0.953955,0.044997,0.979205
43,10,fedavg,0.41,0.959291,0.961644,0.953868,0.044343,0.979412
43,11,fedavg,0.47,0.959590,0.958350,0.950249,0.038496,0.979699
43,12,fedavg,0.40,0.959895,0.962825,0.955230,0.044631,0.979980
43,13,fedavg,0.50,0.961042,0.956855,0.948732,0.032492,0.980263
43,14,fedavg,0.50,0.961320,0.957254,0.949190,0.032401,0.980372
43,15,fedavg,0.50,0.961692,0.957665,0.949668,0.032087,0.980697
43,16,fedavg,0.42,0.961429,0.963261,0.955826,0.041400,0.980904
43,17,fedavg,0.48,0.962402,0.960155,0.952454,0.034127,0.981133
43,18,fedavg,0.41,0.961807,0.963527,0.956150,0.040851,0.981246
43,19,fedavg,0.48,0.962678,0.960533,0.952891,0.034010,0.981438
43,20,fedavg,0.43,0.962659,0.963340,0.956001,0.038392,0.981616
44,1,fedavg,0.43,0.948714,0.955610,0.946332,0.061937,0.975090
44,2,fedavg,0.43,0.953710,0.955804,0.946969,0.049523,0.977363
44,3,fedavg,0.42,0.955718,0.957909,0.949452,0.047666,0.977600
44,4,fedavg,0.42,0.956676,0.958072,0.949709,0.045481,0.977845
44,5,fedavg,0.42,0.957201,0.958514,0.950239,0.044827,0.978041
44,6,fedavg,0.42,0.957673,0.958969,0.950778,0.044330,0.978251
44,7,fedavg,0.41,0.958251,0.960252,0.952243,0.044840,0.978553
44,8,fedavg,0.40,0.958678,0.961371,0.953518,0.045481,0.978820
44,9,fedavg,0.41,0.959075,0.961533,0.953729,0.044723,0.979198
44,10,fedavg,0.41,0.959185,0.961461,0.953657,0.044330,0.979363
44,11,fedavg,0.40,0.959691,0.962590,0.954953,0.044788,0.979679
44,12,fedavg,0.44,0.960122,0.960523,0.952685,0.040498,0.979865
44,13,fedavg,0.44,0.960598,0.961307,0.953590,0.040498,0.980177
44,14,fedavg,0.49,0.961034,0.957182,0.949087,0.033015,0.980447
44,15,fedavg,0.50,0.961626,0.957165,0.949118,0.031485,0.980716
44,16,fedavg,0.50,0.961896,0.958238,0.950310,0.032453,0.980931
44,17,fedavg,0.42,0.961709,0.963128,0.955698,0.040485,0.981064
44,18,fedavg,0.42,0.961810,0.963380,0.955986,0.040615,0.981275
44,19,fedavg,0.46,0.962657,0.961642,0.954115,0.035775,0.981506
44,20,fedavg,0.47,0.963189,0.961383,0.953868,0.034023,0.981741
